phrase,frequency,comments_mentioning,share_of_comments_pct
loistavaa palvelua,5,5,0.4
palvelua ystävällisiä,5,5,0.4
voin suositella,5,5,0.4
palvelu kiitos,5,5,0.4
muutto hoitui,5,5,0.4
hyvin ystävällinen,5,5,0.4
nopeus hinta,5,5,0.4
aikataulussa pysyminen,5,5,0.4
reipas nopea,5,5,0.4
sujuvaa toimintaa,5,5,0.4
ystävälliset apukuskit,5,5,0.4
kohteliaita ripeitä,5,5,0.4
mennyt rikki,5,5,0.4
nopeus täsmällisyys,5,5,0.4
hyvin hoitivat,5,5,0.4
kohtelias palvelu,5,5,0.4
hyvä yhteydenpito,5,5,0.4
ystävällistä nopeaa,5,5,0.4
sujui ongelmitta,5,5,0.4
ystävällinen nopea,5,5,0.4
sujuva palvelu,5,5,0.4
ammattitaitoisia ystävällisiä,5,5,0.4
hyvin saatavilla,5,5,0.4
palvelu mukavia,5,5,0.4
kohteliaita ystävällisiä,5,5,0.4
hinta laatusuhde,5,5,0.4
palvelu toimi,5,5,0.4
hyviä tyyppejä,5,5,0.4
nopea luotettava,5,5,0.4
työntekijät mukavia,5,5,0.4
mukavat työntekijät,5,5,0.4
kuski apukuski,4,3,0.2
mukavat osaavat,4,4,0.3
olin tilannut,4,4,0.3
todella helppoa,4,4,0.3
oikein hyviä,4,4,0.3
ennen kuljetusta,4,3,0.2
ystävällinen hyvä,4,4,0.3
muuttajat ystävällisiä,4,4,0.3
asiansa osaava,4,4,0.3
hoitivat kaiken,4,4,0.3
hyvin ystävälliset,4,4,0.3
ripeä palvelu,4,4,0.3
mukavia kohteliaita,4,4,0.3
työntekijät erittäin,4,4,0.3
työntekijät tekivät,4,4,0.3
palvelu erinomaista,4,4,0.3
kohtuullinen hinta,4,4,0.3
toimi juuri,4,4,0.3
muuttomiehet tulivat,4,4,0.3
was very,4,4,0.3
erittäin nopea,4,4,0.3
reippaita osaavia,4,4,0.3
hinta edullinen,4,4,0.3
tavaroiden siirto,4,4,0.3
palvelu ystävällinen,4,4,0.3
sujui ajallaan,4,4,0.3
mukavat kohteliaat,4,4,0.3
ystävällisiä luotettavia,4,4,0.3
reipasta nopeaa,4,4,0.3
ammattitaitoista ystävällistä,4,4,0.3
luotettavaa palvelua,4,4,0.3
työnsä osaavia,4,4,0.3
todella ammattimaisia,4,3,0.2
mukavia huolellisia,4,4,0.3
ystävällisiä työntekijöitä,4,4,0.3
ystävälliset kohteliaat,4,4,0.3
loistava asiakaspalvelu,4,4,0.3
hyvin todella,4,4,0.3
muuttomiehet erittäin,4,4,0.3
täsmällisyys nopeus,4,4,0.3
ajallaan nopeasti,4,4,0.3
